name,old_3cm_scale05_psnr,new_1cm_scale05_psnr,delta_psnr,old_ssim,new_ssim,old_gap_pct,new_gap_pct,new_masked_psnr
003001.png,21.71865473338346,21.60265562893891,-0.1159991044445512,0.7491856217384338,0.7806699275970459,24.016245487364618,0.0021152978339350178,21.602830545100453
003004.png,17.590842289308327,15.460897141156362,-2.1299451481519647,0.7405354976654053,0.748618483543396,10.51486349277978,0.0,15.460897141156362
003007.png,20.828560645823913,14.801565410803665,-6.026995235020248,0.7661849856376648,0.7061641216278076,13.733782716606502,0.00662793321299639,14.801621619255629
003010.png,23.215530235723985,25.351146906053295,2.135616670329309,0.8111786246299744,0.7438039183616638,56.960740072202164,1.6960458032490977,25.421487262397925
003013.png,24.43904593249656,26.06129964200707,1.6222537095105132,0.8331756591796875,0.7505648732185364,55.068394629963905,1.4787342057761732,26.162172206888748
003016.png,22.428628679696914,21.72962888505378,-0.6989997946431323,0.7159904837608337,0.6214228868484497,48.74929490072202,0.5192351083032491,21.74439763529211
003019.png,23.98107975964299,26.131838613846057,2.1507588542030653,0.7731291055679321,0.7997552156448364,34.934848826714806,0.052741425992779783,26.137304611693
003022.png,19.48996797665544,19.832959203437465,0.34299122678202565,0.7615898847579956,0.7827110886573792,17.67500564079423,0.011704648014440433,19.83267859443757
003025.png,20.366007582260917,13.902927541880768,-6.463080040380149,0.7535378336906433,0.7314272522926331,17.639327617328515,0.012973826714801445,13.90298476908643
003028.png,22.09209319078009,20.29855692510916,-1.7935362656709302,0.8306007385253906,0.7354763150215149,35.983895532490976,0.4560582129963899,20.305226319008515
003031.png,22.432789557085663,22.686594970371008,0.25380541328534534,0.8169944882392883,0.7028741836547852,67.4215929602888,2.2657660198555956,22.711010391103517
003034.png,25.574953141396414,25.570218095174408,-0.004735046222005934,0.8333122134208679,0.7695921659469604,37.55302346570397,0.20955550541516244,25.586147834611698
003037.png,23.423750912680134,24.71779964229722,1.294048729617085,0.7608011960983276,0.7934290766716003,32.61422608303249,0.0706509476534296,24.722108550753173
003040.png,19.8241964971019,19.981793961596928,0.15759746449502643,0.76362544298172,0.7960836887359619,13.58021209386282,0.0,19.981793961596928
003043.png,20.138414341358285,14.144195667396541,-5.994218673961743,0.7535126805305481,0.7461514472961426,14.711755415162454,0.0,14.144195667396541
003046.png,22.043243292570097,20.124558221366353,-1.9186850712037433,0.8327868580818176,0.7684991955757141,27.270560694945843,0.02890907039711191,20.12431098386459
003049.png,21.46719408312704,21.84436818278957,0.377174099662529,0.8332421779632568,0.7449153661727905,58.91513425090253,0.7868907942238268,21.846065606385846
003052.png,24.654805087490736,24.390038841217553,-0.264766246273183,0.8538968563079834,0.7967413067817688,31.55037229241877,0.09448330324909747,24.393675068981906
003055.png,23.986745164671767,24.64286426876422,0.6561191040924541,0.7645754814147949,0.810480535030365,33.36078519855595,0.02975518953068592,24.652891782096656
003058.png,22.358604521165667,22.649341895541095,0.29073737437542846,0.7624140977859497,0.7918297648429871,17.77132220216606,0.0050767148014440435,22.649711144066575
003061.png,21.009899581495205,14.215770062971554,-6.7941295185236505,0.7495151162147522,0.7513173818588257,16.62609995487364,0.011563628158844765,14.215631687367278
003064.png,19.99224406751963,16.602300776934037,-3.3899432905855917,0.7636391520500183,0.6741504073143005,24.790162454873645,0.061484657039711184,16.60181875718836
003067.png,20.837126776586974,20.754602625693078,-0.08252415089389586,0.841692328453064,0.7538487911224365,65.09561146209386,0.5661947202166064,20.750623787550396
