image_id,name,native_psnr_gt_valid_db,native_ssim_gt_valid,native_psnr_masked_db,native_ssim_masked,gap_pixels,gap_pct,strict_alpha_zero_pixels,strict_alpha_zero_pct,depth_mae_mm,depth_rmse_mm,depth_eval_coverage_pct,gt_valid_pct
3001,003001.png,21.60265562893891,0.7806699275970459,21.602830545100453,0.7812654972076416,15,0.0021152978339350178,0,0.0,15.486687904210575,71.60773956082281,99.778880866426,100.0
3004,003004.png,15.460897141156362,0.748618483543396,15.460897141156362,0.748618483543396,0,0.0,0,0.0,29.597837037079987,135.62593065421126,97.28776511732852,100.0
3007,003007.png,14.801565410803665,0.7061641216278076,14.801621619255629,0.7070004343986511,47,0.00662793321299639,0,0.0,26.44141066364572,109.93073823057689,95.22859318592057,100.0
3010,003010.png,25.351146906053295,0.7438039183616638,25.421487262397925,0.7791060209274292,12027,1.6960458032490977,0,0.0,6.006300767148015,14.654637365769315,100.0,100.0
3013,003013.png,26.06129964200707,0.7505648732185364,26.162172206888748,0.788244903087616,10486,1.4787342057761732,0,0.0,6.619202673736462,20.968438366921433,100.0,100.0
3016,003016.png,21.72962888505378,0.6214228868484497,21.74439763529211,0.6396496295928955,3682,0.5192351083032491,0,0.0,11.700353959837544,36.626247749380596,100.0,100.0
3019,003019.png,26.131838613846057,0.7997552156448364,26.137304611693,0.8035444021224976,374,0.052741425992779783,0,0.0,9.047954682796519,33.464008964396825,99.87759476534296,100.0
3022,003022.png,19.832959203437465,0.7827110886573792,19.83267859443757,0.7828313708305359,83,0.011704648014440433,0,0.0,25.11654043592279,118.31641932216706,99.96714237364621,100.0
3025,003025.png,13.902927541880768,0.7314272522926331,13.90298476908643,0.7320659160614014,92,0.012973826714801445,0,0.0,28.017059704441223,114.91123985456309,93.50786890794224,100.0
3028,003028.png,20.29855692510916,0.7354763150215149,20.305226319008515,0.7427851557731628,3234,0.4560582129963899,0,0.0,6.468535649819494,17.333148551138894,100.0,100.0
3031,003031.png,22.686594970371008,0.7028741836547852,22.711010391103517,0.7266366481781006,16067,2.2657660198555956,0,0.0,6.471532321750902,10.006368050803488,100.0,100.0
3034,003034.png,25.570218095174408,0.7695921659469604,25.586147834611698,0.7896473407745361,1486,0.20955550541516244,0,0.0,9.723031362815885,33.99213283636881,100.0,100.0
3037,003037.png,24.71779964229722,0.7934290766716003,24.722108550753173,0.8009628653526306,501,0.0706509476534296,0,0.0,10.742394551522784,58.66233617014686,99.88549187725631,100.0
3040,003040.png,19.981793961596928,0.7960836887359619,19.981793961596928,0.7960836887359619,0,0.0,0,0.0,24.296034466208546,115.71094223981198,99.8990297833935,100.0
3043,003043.png,14.144195667396541,0.7461514472961426,14.144195667396541,0.7461514472961426,0,0.0,0,0.0,26.411630808028622,108.04269962730692,94.16755979241877,100.0
3046,003046.png,20.124558221366353,0.7684991955757141,20.12431098386459,0.7694265842437744,205,0.02890907039711191,0,0.0,10.905511777502479,43.89940602476152,99.3754230595668,100.0
3049,003049.png,21.84436818278957,0.7449153661727905,21.846065606385846,0.7622377872467041,5580,0.7868907942238268,0,0.0,5.5567252369133575,12.535411427423648,100.0,100.0
3052,003052.png,24.390038841217553,0.7967413067817688,24.393675068981906,0.8019487857818604,670,0.09448330324909747,0,0.0,9.222735221119134,29.751809644472697,100.0,100.0
3055,003055.png,24.64286426876422,0.810480535030365,24.652891782096656,0.8143121600151062,211,0.02975518953068592,0,0.0,11.128549507645527,63.789499191010435,99.98900045126355,100.0
3058,003058.png,22.649341895541095,0.7918297648429871,22.649711144066575,0.7920117974281311,36,0.0050767148014440435,0,0.0,24.231562664077188,113.64918984624299,99.91369584837545,100.0
3061,003061.png,14.215770062971554,0.7513173818588257,14.215631687367278,0.7517328262329102,82,0.011563628158844765,0,0.0,25.562422809131586,101.90629839044632,93.85689305054152,100.0
3064,003064.png,16.602300776934037,0.6741504073143005,16.60181875718836,0.6748162508010864,436,0.061484657039711184,0,0.0,12.936408662326693,48.52085064360592,98.17294675090253,100.0
