variant,label,image_id,name,psnr_db,ssim,common_depth_mae_mm,common_depth_coverage_pct,gap_pixels,total_pixels,gap_pct,valid_pct,strict_alpha_zero_pixels,strict_alpha_zero_pct
p3_s05,3 cm · scale 0.5,3001,003001.png,21.718655033797294,0.7491856813430786,35.24065279753152,99.44875338447653,170304,709120,24.01624548736462,75.98375451263539,20,0.0028203971119133576
p3_s1,3 cm · scale 1,3001,003001.png,21.39697656385075,0.8056811690330505,113.9505282816065,99.44875338447653,432,709120,0.06092057761732852,99.93907942238268,0,0.0
p1_s05,1 cm · scale 0.5,3001,003001.png,21.60265562893891,0.7806699275970459,15.528770821782416,99.44875338447653,15,709120,0.002115297833935018,99.99788470216606,0,0.0
p1_s1,1 cm · scale 1,3001,003001.png,21.72516266516945,0.8039899468421936,42.854884566463085,99.44875338447653,0,709120,0.0,100.0,0,0.0
p3_s05,3 cm · scale 0.5,3238,003238.png,18.63858444107473,0.7358297109603882,66.75465396354154,99.94034860108303,112464,709120,15.859657039711191,84.1403429602888,0,0.0
p3_s1,3 cm · scale 1,3238,003238.png,17.349376208562465,0.7694892287254333,189.46907493611516,99.94034860108303,0,709120,0.0,100.0,0,0.0
p1_s05,1 cm · scale 0.5,3238,003238.png,19.043991932789968,0.7757147550582886,32.06447466265555,99.94034860108303,49,709120,0.006909972924187726,99.99309002707581,0,0.0
p1_s1,1 cm · scale 1,3238,003238.png,18.70345238775369,0.7790842056274414,73.8982654082069,99.94034860108303,0,709120,0.0,100.0,0,0.0
p3_s05,3 cm · scale 0.5,3301,003301.png,19.33723941652682,0.6711349487304688,15.00191285041998,98.19818930505416,291528,709120,41.11123646209386,58.88876353790614,0,0.0
p3_s1,3 cm · scale 1,3301,003301.png,19.067645607836493,0.8364154100418091,55.50187910268359,98.19818930505416,0,709120,0.0,100.0,0,0.0
p1_s05,1 cm · scale 0.5,3301,003301.png,24.953283268614666,0.846297562122345,6.438871360809256,98.19818930505416,1736,709120,0.24481046931407943,99.75518953068593,0,0.0
p1_s1,1 cm · scale 1,3301,003301.png,21.889812768516276,0.8536716103553772,20.534315703611583,98.19818930505416,0,709120,0.0,100.0,0,0.0
p3_s05,3 cm · scale 0.5,3478,003478.png,20.718653022795376,0.793021559715271,6.891592581238504,99.36146209386281,362684,709120,51.14564530685921,48.85435469314079,0,0.0
p3_s1,3 cm · scale 1,3478,003478.png,29.669117156513984,0.9726637005805969,32.53447810931716,99.36146209386281,0,709120,0.0,100.0,0,0.0
p1_s05,1 cm · scale 0.5,3478,003478.png,32.295290076661004,0.9217296242713928,4.852506131207848,99.36146209386281,11970,709120,1.6880076714801444,98.31199232851985,0,0.0
p1_s1,1 cm · scale 1,3478,003478.png,33.830383636591435,0.9716134071350098,10.487225231055703,99.36146209386281,0,709120,0.0,100.0,0,0.0
